"Date","Price","Open","High","Low","Vol.","Change %"
"11/08/2023","483.99","483.98","487.43","480.06","33.38M","-0.78%"
"10/08/2023","487.79","496.01","498.90","484.92","44.84M","-1.39%"
"09/08/2023","494.66","497.88","501.93","493.93","28.64M","-0.50%"
"08/08/2023","497.16","494.51","497.80","481.62","34.34M","0.10%"
"07/08/2023","496.65","495.33","500.28","493.61","23.12M","0.28%"
"04/08/2023","495.27","503.27","505.50","494.57","29.83M","-1.73%"
"03/08/2023","503.99","498.58","509.97","495.38","31.41M","0.93%"
"02/08/2023","499.34","508.18","508.78","497.61","37.94M","-2.63%"
"01/08/2023","512.85","509.46","514.41","505.86","28.78M","-0.60%"
"31/07/2023","515.97","504.89","516.56","504.89","34.70M","2.24%"
"28/07/2023","504.65","499.95","505.60","496.93","35.01M","0.90%"
"27/07/2023","500.14","505.11","508.34","498.87","39.26M","-0.95%"
"26/07/2023","504.94","509.74","509.90","500.64","43.73M","-1.18%"
"25/07/2023","510.98","494.36","515.44","494.36","65.00M","3.59%"
"24/07/2023","493.25","482.24","497.62","482.24","44.06M","2.35%"
"21/07/2023","481.93","491.51","493.78","481.32","35.39M","-1.85%"
"20/07/2023","491.03","491.01","496.31","488.64","44.85M","0.32%"
"19/07/2023","489.46","493.43","493.43","484.53","35.20M","-1.07%"
"18/07/2023","494.77","489.31","495.94","487.69","27.10M","0.97%"
"17/07/2023","490.00","489.88","491.24","483.66","25.89M","-0.14%"
"14/07/2023","490.67","499.42","499.42","486.29","35.97M","-1.90%"
"13/07/2023","500.18","494.31","501.41","494.31","34.83M","1.44%"
"12/07/2023","493.07","493.26","499.65","491.68","32.68M","1.43%"
"11/07/2023","486.12","477.81","486.99","477.65","33.27M","1.92%"
"10/07/2023","476.96","471.05","478.17","467.92","26.98M","0.92%"
"07/07/2023","472.63","464.85","478.92","464.85","39.28M","1.81%"
"06/07/2023","464.25","466.51","469.38","455.10","46.39M","-1.72%"
"05/07/2023","472.38","485.43","485.43","469.70","38.10M","-3.27%"
"03/07/2023","488.36","482.14","493.48","482.14","18.71M","1.27%"
"30/06/2023","482.25","479.47","483.26","476.26","31.20M","0.70%"
"29/06/2023","478.88","473.12","479.19","470.57","32.50M","1.19%"
"28/06/2023","473.25","473.47","475.32","466.87","34.57M","-1.11%"
"27/06/2023","478.58","466.68","479.89","466.35","35.56M","2.96%"
"26/06/2023","464.80","458.93","469.01","458.93","27.94M","1.42%"
"23/06/2023","458.30","462.13","462.13","452.41","37.61M","-1.22%"
